,Probe,mean_group1,mean_group2,delta_beta,coef_group,t_stat,p_value,n_samples,df_resid,FDR
126303,cg06654302,0.10044544123623991,0.06615589775238515,0.03428954348385477,0.5497584299700836,4.686434292549212,2.5927690955574482e-05,49,45,0.5719566289273936
2750,cg00123001,0.686848137200224,0.7610692173308758,-0.07422108013065187,-0.5459244909123635,-4.677000326038545,2.674158309260539e-05,49,45,0.5719566289273936
379886,cg22035259,0.706663337063504,0.80561603139542,-0.098952694331916,-0.7378241446142949,-4.6498070308629424,2.9230623383670225e-05,49,45,0.5745997612218564
100614,cg05195772,0.8019404132228835,0.8757778570339255,-0.07383744381104207,-0.7250729561150254,-4.618476686895972,3.238109911414074e-05,49,45,0.5875662522680847
374527,cg21649520,0.6771521531768965,0.8019924497027858,-0.12484029652588935,-0.8227548137049698,-4.624274273092127,3.177400393942169e-05,49,45,0.5875662522680847
307128,cg17259358,0.23696182804918575,0.13245255499204162,0.10450927305714414,0.951454740376928,4.435607687038006,5.861379544449102e-05,49,45,0.5898564298625923
85471,cg04373937,0.7573522458258011,0.8454509800900118,-0.08809873426421078,-0.7330326002656632,-4.405304265612562,6.46246253640047e-05,49,45,0.5898564298625923
330866,cg18766791,0.5800085741823333,0.6908724517665653,-0.110863877584232,-0.7109846021314256,-4.4289262006351695,5.989021696637241e-05,49,45,0.5898564298625923
100628,cg05196885,0.8144578034312178,0.8583917524670482,-0.04393394903583048,-0.45328665363633786,-4.603313635790309,3.402322786056717e-05,49,45,0.5898564298625923
328655,cg18622954,0.09284585957610118,0.10692670824960353,-0.014080848673502344,-0.22579558209184913,-4.4382885640813985,5.810915957344246e-05,49,45,0.5898564298625923
340709,cg19434303,0.1641745404507245,0.11727222349970992,0.04690231695101457,0.5776637918077564,4.462461229406809,5.374683831517663e-05,49,45,0.5898564298625923
136986,cg07198258,0.7298002049729135,0.8040391808107968,-0.0742389758378833,-0.5740845973562979,-4.380949778193627,6.988858389998548e-05,49,45,0.5898564298625923
136428,cg07169764,0.16587445183121627,0.05985413188023081,0.10602031995098546,1.1431050830620442,4.3822335822646465,6.960093274738314e-05,49,45,0.5898564298625923
227519,cg12587985,0.7229949571096295,0.8089028978283721,-0.08590794071874264,-0.67891088303362,-4.389316574757909,6.80345875916664e-05,49,45,0.5898564298625923
171743,cg09183742,0.31913655436182337,0.11522382074667958,0.20391273361514378,1.5516835467711814,4.526331266106532,4.3705269612796684e-05,49,45,0.5898564298625923
268971,cg14878852,0.6576692571096034,0.7668523467436262,-0.10918308963402279,-0.7160157221850825,-4.442095939465635,5.739977429835807e-05,49,45,0.5898564298625923
216628,cg11889769,0.16740255862943854,0.055826438026117316,0.11157612060332123,1.3022705397593708,4.494330071128668,4.848245570100395e-05,49,45,0.5898564298625923
160740,cg08535970,0.721985172721009,0.825363921797658,-0.10337874907664901,-0.7734409998200994,-4.492716916390902,4.873635446933693e-05,49,45,0.5898564298625923
298579,cg16705777,0.8648330650368578,0.9020407268335976,-0.037207661796739844,-0.5225191911284388,-4.48226137961082,5.04138330747824e-05,49,45,0.5898564298625923
353181,cg20218907,0.06820891620618898,0.05514041962601142,0.013068496580177558,0.32810624842073405,4.4447747537372,5.690574590902405e-05,49,45,0.5898564298625923
48198,cg02424254,0.704124388201298,0.8089043947528127,-0.10478000655151476,-0.8225818065449514,-4.583584354716311,3.628265023199989e-05,49,45,0.5898564298625923
212040,cg11630135,0.9462704374598763,0.9643569679905469,-0.018086530530670664,-0.5126698984110993,-4.463651201402027,5.3540575799946086e-05,49,45,0.5898564298625923
146880,cg07750130,0.7362921552253375,0.8204244660636022,-0.08413231083826467,-0.6812870947201936,-4.407349239996248,6.420069772753746e-05,49,45,0.5898564298625923
181746,cg09782637,0.8001101438975535,0.8516308117915181,-0.05152066789396459,-0.48375319335868905,-4.395470838034658,6.670163699711487e-05,49,45,0.5898564298625923
12331,cg00592315,0.7253235986285408,0.8325313954246141,-0.10720779679607328,-0.8197230494176231,-4.442058505488944,5.740670753441153e-05,49,45,0.5898564298625923
140576,cg07401045,0.07787528497031419,0.06294955460270597,0.01492573036760822,0.3241250773514593,4.560328112602273,3.913541233076347e-05,49,45,0.5898564298625923
194629,cg10531774,0.6581436835649044,0.8114792515493037,-0.1533355679843993,-0.9875775324803259,-4.46790607560393,5.280937987921699e-05,49,45,0.5898564298625923
269353,cg14906251,0.06755545096072342,0.05497077547685482,0.012584675483868601,0.30593386335546496,4.404149010615038,6.486532071629346e-05,49,45,0.5898564298625923
253529,cg14067233,0.7436926201592824,0.8331364503551087,-0.08944383019582636,-0.716095080665351,-4.411334412714028,6.338236066359473e-05,49,45,0.5898564298625923
371031,cg21429725,0.9222153072156523,0.9419489493087505,-0.019733642093098247,-0.45191405374418153,-4.38119004367413,6.983466141711325e-05,49,45,0.5898564298625923
356556,cg20449833,0.32620656509604573,0.19316660558875434,0.1330399595072914,1.0407874832132922,4.413708882921732,6.289963230378679e-05,49,45,0.5898564298625923
393811,cg22980380,0.8514931337347492,0.9019035565376854,-0.05041042280293617,-0.5960596374815906,-4.3803838777835535,7.001574905263941e-05,49,45,0.5898564298625923
418084,cg24519533,0.8824900338666103,0.9275162011634508,-0.0450261672968405,-0.6406040443147687,-4.471136888538647,5.226070514708298e-05,49,45,0.5898564298625923
289191,cg16172864,0.707172177777458,0.7794291231751408,-0.07225694539768279,-0.5595596437807806,-4.5448882406477935,4.114964384869921e-05,49,45,0.5898564298625923
122454,cg06444161,0.876205668721489,0.9401064050617107,-0.06390073634022175,-0.8806299346226202,-4.486573071093032,4.971532789634817e-05,49,45,0.5898564298625923
315358,cg17803298,0.7071522582714272,0.8442795250697163,-0.13712726679828902,-0.9926452349224459,-4.365663478135134,7.340420526704493e-05,49,45,0.5970786647703654
166070,cg08849514,0.7254340117439979,0.8048548680586153,-0.07942085631461737,-0.6368623836973467,-4.37002085641011,7.238483721216107e-05,49,45,0.5970786647703654
49199,cg02480144,0.4081703082072828,0.29201516958164575,0.11615513862563703,0.7680215917652531,4.360167200168467,7.471002729368205e-05,49,45,0.5974003723150173
43963,cg02208776,0.0681508340891787,0.044701270243891374,0.023449563845287326,0.49154248271282536,4.329451022471921,8.243618503128655e-05,49,45,0.648194348964589
390654,cg22790973,0.06428356756509647,0.04270582406353284,0.021577743501563627,0.4868929195852719,4.319367068409544,8.513874975590678e-05,49,45,0.6584700691982286
355738,cg20392240,0.1419008256148319,0.04943250631292384,0.09246831930190805,1.2421109735597207,4.314220405968196,8.655122951361782e-05,49,45,0.6585976211081468
137885,cg07246206,0.1270826870322884,0.17258947939531963,-0.045506792363031234,-0.5992360884475066,-4.2294473067973,0.00011338750977752205,49,45,0.7013423328875527
438156,cg25815440,0.7773733394977873,0.8670805264115884,-0.08970718691380108,-0.8574741251970748,-4.2508115061564675,0.00010594491995602548,49,45,0.7013423328875527
396118,cg23115487,0.3754993476712303,0.5239283175160921,-0.14842896984486187,-0.8677786281113629,-4.24717418034109,0.00010717750944754737,49,45,0.7013423328875527
431093,cg25349900,0.519805511615598,0.6236226298734323,-0.10381711825783435,-0.6417216068511556,-4.2470423160837845,0.00010722245616339716,49,45,0.7013423328875527
321211,cg18155211,0.17805757570055653,0.0767256702517239,0.10133190544883262,0.9565062963216774,4.267319850298898,0.00010052220980002308,49,45,0.7013423328875527
64721,cg03282543,0.7177481159300153,0.7900650963977872,-0.07231698046777191,-0.5592548276528756,-4.270464490406559,9.952038660571986e-05,49,45,0.7013423328875527
55250,cg02784956,0.7929210617298913,0.8832565926938494,-0.09033553096395808,-0.7694387669010433,-4.248792694653315,0.00010662732307696201,49,45,0.7013423328875527
260164,cg14398860,0.9499654550609027,0.9367079188946507,0.013257536166252026,0.39530039538009354,4.226461310251575,0.00011446749353477276,49,45,0.7013423328875527
188518,cg10174031,0.8423982070727496,0.8895573011971664,-0.04715909412441677,-0.5423544822134152,-4.271458580821864,9.920571839847917e-05,49,45,0.7013423328875527
245063,cg13647155,0.27067344107924324,0.168782903893578,0.10189053718566524,0.837890788143736,4.226916594206479,0.00011430217995858839,49,45,0.7013423328875527
204342,cg11139044,0.3039704714621677,0.1871320247905776,0.1168384466715901,0.8971892619058311,4.2274606507278465,0.00011410493811788138,49,45,0.7013423328875527
311390,cg17516271,0.8166342607790855,0.866857223607767,-0.05022296282868144,-0.5142102336457425,-4.234327919636907,0.00011164361650664382,49,45,0.7013423328875527
322937,cg18260555,0.7458698177801317,0.8399232856174065,-0.09405346783727475,-0.709304154607895,-4.2648200118352335,0.00010132562092990187,49,45,0.7013423328875527
321042,cg18146506,0.26956384737579625,0.13508481278080775,0.1344790345949885,1.1779063706707313,4.280069031475931,9.652046917784072e-05,49,45,0.7013423328875527
434952,cg25599473,0.8216650915610345,0.8884509751255052,-0.06678588356447068,-0.725406263735619,-4.273371253069028,9.860301036484389e-05,49,45,0.7013423328875527
456150,cg26910994,0.8509591533372272,0.8935478315615709,-0.04258867822434376,-0.5039191311696668,-4.204215470548445,0.00012283497087010504,49,45,0.7165260362200429
271517,cg15037445,0.7490279092882866,0.8928233939160838,-0.14379548462779723,-1.1468686860195934,-4.215221241114764,0.00011862342497871881,49,45,0.7165260362200429
225794,cg12477724,0.7954386921177162,0.8759563689443053,-0.08051767682658906,-0.7083593185469207,-4.2037384770170565,0.00012302075534057996,49,45,0.7165260362200429
56018,cg02830744,0.7486682477532455,0.8183888864635606,-0.06972063871031509,-0.5359192739733863,-4.204207238209568,0.00012283817496992018,49,45,0.7165260362200429
177018,cg09493966,0.7603588010296702,0.8433760051521861,-0.0830172041225159,-0.7189132831606186,-4.193806058339362,0.00012695209850790485,49,45,0.7304065131946444
271332,cg15027633,0.4676485646999331,0.8189642837645571,-0.351315719064624,-2.8259908084918375,-4.156793886130166,0.00014270784339005365,49,45,0.7305152042583628
356518,cg20447655,0.22240359856943492,0.06565536168175934,0.15674823688767558,1.5646581591544597,4.156119517925081,0.00014301187233928272,49,45,0.7305152042583628
75706,cg03859891,0.8397477751535405,0.901904598526407,-0.06215682337286654,-0.7072145258471092,-4.169610973571504,0.00013704758107856483,49,45,0.7305152042583628
123617,cg06513673,0.6769429285931405,0.7615459610481977,-0.08460303245505718,-0.5717858981429231,-4.164398620524635,0.00013932259399554111,49,45,0.7305152042583628
26096,cg01283482,0.20271998949922185,0.09142788593457575,0.1112921035646461,0.9907807383238911,4.178731758350085,0.00013315335124107993,49,45,0.7305152042583628
414776,cg24312986,0.7864104213968652,0.8571139847504049,-0.07070356335353967,-0.6588095514041917,-4.153929231243494,0.00014400368391986022,49,45,0.7305152042583628
426888,cg25063796,0.8472132882193052,0.884206733143803,-0.036993444924497854,-0.43653788547521083,-4.183851687618448,0.00013101475647028527,49,45,0.7305152042583628
349927,cg19992190,0.3597790561608438,0.44442330529812657,-0.08464424913728275,-0.6883382773657951,-4.170291184236486,0.00013675337231126004,49,45,0.7305152042583628
358543,cg20586124,0.8240971585672828,0.8847577473685354,-0.06066058880125258,-0.6158893093603418,-4.163597105078918,0.00013967567205166035,49,45,0.7305152042583628
457918,cg27013755,0.941890349449885,0.929127462540446,0.012762886909439053,0.30443309471370766,4.173849786147688,0.00013522417578600105,49,45,0.7305152042583628
203989,cg11115577,0.6359831726215823,0.7008657930663678,-0.06488262044478543,-0.39860399217333115,-4.1767974326841575,0.0001339701307768291,49,45,0.7305152042583628
159224,cg08452658,0.07677351416613375,0.060750257722402286,0.01602325644373146,0.3398488684706984,4.130379633681773,0.00015509919997954184,49,45,0.739962830043208
243923,cg13588739,0.25011715200976004,0.1341555373571891,0.11596161465257093,1.0389512366752378,4.1429355054208905,0.0001490838413032721,49,45,0.739962830043208
224989,cg12428978,0.08379763612209487,0.045531385993026044,0.03826625012906883,0.6485615742265186,4.130016226177646,0.0001552767719086216,49,45,0.739962830043208
417321,cg24473292,0.8782164527878278,0.9106094492246378,-0.03239299643681004,-0.48605431311025804,-4.130875367170255,0.00015485728790792975,49,45,0.739962830043208
45649,cg02295574,0.7187861875937223,0.8222337508271045,-0.10344756323338222,-0.7477913512785361,-4.131441497768924,0.00015458147158890732,49,45,0.739962830043208
243924,cg13588800,0.19490034646478752,0.2394365008185579,-0.044536154353770396,-0.36412340201595844,-4.131374630831885,0.0001546140239703181,49,45,0.739962830043208
295962,cg16564180,0.8937128197408213,0.8622355991082311,0.031477220632590175,0.4328364891180143,4.1228028007366175,0.00015884264906203865,49,45,0.7493862613183954
117525,cg06143290,0.8342922068003851,0.8646887798166888,-0.03039657301630372,-0.3117742128077393,-4.102539836556734,0.00016929059161508797,49,45,0.7702548216613032
328096,cg18584440,0.6204559871727547,0.8349348400955037,-0.21447885292274893,-1.6602001171144214,-4.078172869837283,0.00018274096436211886,49,45,0.7702548216613032
225131,cg12437197,0.9226673307935562,0.9551044129509236,-0.0324370821573674,-0.7026217578866241,-4.093041771764434,0.00017441496966531423,49,45,0.7702548216613032
198645,cg10781308,0.6921129971344357,0.7836085260757057,-0.09149552894127,-0.6295481110537261,-4.100916055246206,0.00017015616157283454,49,45,0.7702548216613032
16215,cg00788688,0.8312791414750792,0.8955026234281025,-0.0642234819530233,-0.8166780446388108,-4.107453182294526,0.00016669747242243388,49,45,0.7702548216613032
219172,cg12051980,0.24173940210697048,0.13962500653902957,0.10211439556794091,0.8476616996409767,4.090581874793506,0.00017576650621141268,49,45,0.7702548216613032
82512,cg04219247,0.16889496866925324,0.05878260568924038,0.11011236298001287,1.2251497910460836,4.098022807689627,0.00017170910003530296,49,45,0.7702548216613032
342302,cg19534703,0.7969063848039515,0.8536174816001029,-0.05671109679615138,-0.5268095391168311,-4.075132087991854,0.00018449060862761433,49,45,0.7702548216613032
38758,cg01941047,0.07987771174406022,0.06823772577866898,0.011639985965391245,0.251114220018021,4.083308198433346,0.00017982265653271643,49,45,0.7702548216613032
146655,cg07738031,0.7772400822713232,0.8395977042404199,-0.062357621969096666,-0.5319787746028322,-4.082237148788304,0.00018042755290268982,49,45,0.7702548216613032
375684,cg21745595,0.6518488587641178,0.7796464008502173,-0.1277975420860995,-0.8685674351475243,-4.0967636066850055,0.00017238926374105705,49,45,0.7702548216613032
430038,cg25281042,0.4041834393293093,0.2975327728301147,0.10665066649919458,0.6761518303355742,4.08064708172651,0.00018132922101822842,49,45,0.7702548216613032
232720,cg12931620,0.6139058320696574,0.701948021423271,-0.08804218935361352,-0.5559594305612168,-4.075658510125393,0.00018418654905896334,49,45,0.7702548216613032
283712,cg15828711,0.5363542200036012,0.7118600378779234,-0.17550581787432218,-1.034648808338076,-4.063602415290617,0.00019127367796873413,49,45,0.7858669958801078
457022,cg26958654,0.7577151848178503,0.8335483044095188,-0.0758331195916685,-0.5972655720597874,-4.063121968060409,0.00019156152462532753,49,45,0.7858669958801078
214855,cg11796181,0.8386555301358685,0.8653572907277899,-0.02670176059192142,-0.3063662399439559,-4.028442985581777,0.00021348709803526014,49,45,0.7930608631809212
466272,cg27525155,0.9116721003533,0.9295847581216117,-0.017912657768311635,-0.3675985677647712,-4.045274482670215,0.0002025574292917525,49,45,0.7930608631809212
256328,cg14205321,0.284715263525576,0.17692668179486623,0.10778858173070979,0.8310216688219597,4.047676984058514,0.00020104232129429698,49,45,0.7930608631809212
104508,cg05396731,0.24644670657410828,0.17448955007235378,0.0719571565017545,0.5606930672140777,4.030419214721587,0.00021217476174303294,49,45,0.7930608631809212
89990,cg04617043,0.677800140377674,0.8012810597703658,-0.12348091939269179,-0.839262192362688,-4.032015379413293,0.00021112052770067485,49,45,0.7930608631809212
279883,cg15594605,0.24922453822644153,0.4980761487220676,-0.2488516104956261,-2.0897482271597756,-4.041818771054877,0.00020475617923114485,49,45,0.7930608631809212
304959,cg17124224,0.152398149443025,0.10686785389714319,0.045530295545881797,0.5294817879152478,4.028521822812069,0.0002134345948543838,49,45,0.7930608631809212
412143,cg24130287,0.5967508071727105,0.7331605871456844,-0.136409779972974,-0.8774527450246049,-4.037363320585869,0.0002076252308924669,49,45,0.7930608631809212
421927,cg24752300,0.5211569566806373,0.6870436868182056,-0.16588673013756827,-1.3100346588121576,-4.045183785935691,0.00020261484259175084,49,45,0.7930608631809212
137366,cg07216884,0.6342560980533035,0.7794606524131018,-0.1452045543597983,-1.019148250245701,-4.037530153339471,0.00020751710077466547,49,45,0.7930608631809212
25397,cg01244571,0.8910192748891219,0.9490132997848346,-0.057994024895712704,-0.8093919686876907,-4.0516421296640255,0.00019856577563348503,49,45,0.7930608631809212
442568,cg26112343,0.7639638617826168,0.8592312096711101,-0.09526734788849334,-0.7667440971863008,-4.031968773596101,0.00021115123773586417,49,45,0.7930608631809212
227411,cg12581769,0.607264505194282,0.7107465643166904,-0.10348205912240838,-0.6468845935733093,-4.023102968748923,0.0002170727005320354,49,45,0.8000807936273681
355230,cg20359285,0.179150493507525,0.09978997180237847,0.07936052170514651,0.9221337589454365,4.015486911320624,0.00022228780777482803,49,45,0.8066978435707738
167359,cg08917208,0.07113027231848651,0.05990393148279589,0.011226340835690622,0.2648460355672139,4.017122667538044,0.00022115757428839503,49,45,0.8066978435707738
283308,cg15806271,0.6312284442734233,0.6830305697287512,-0.05180212545532792,-0.3332381809414128,-4.008389023076522,0.0002272573505261751,49,45,0.8070698311515382
95361,cg04909938,0.11506813204073045,0.06915908153067521,0.04590905051005524,0.7397181694934578,3.977077018598455,0.0002504959734531486,49,45,0.8070698311515382
127919,cg06744117,0.32505170765241276,0.1361421617488545,0.18890954590355827,1.3998914143772774,3.995151189678683,0.00023681507871005613,49,45,0.8070698311515382
123623,cg06513864,0.25159790022349204,0.07457203879271146,0.17702586143078058,1.3955587922014563,3.975708989320733,0.00025156209440555525,49,45,0.8070698311515382
323000,cg18264020,0.5897970502884986,0.6590236778139745,-0.06922662752547593,-0.4245265918742317,-3.966309530497546,0.0002590069799436939,49,45,0.8070698311515382
392486,cg22896102,0.7384929331498563,0.8557971370245535,-0.1173042038746972,-0.8554906780080854,-3.9608276677992524,0.0002634469825857804,49,45,0.8070698311515382
30533,cg01514538,0.9539001482869423,0.9734897841093553,-0.01958963582241302,-0.6119336593381273,-3.9887041320503953,0.00024160983949409595,49,45,0.8070698311515382
35428,cg01777019,0.16393183789919508,0.09581705003968816,0.06811478785950692,0.6777926423066495,3.969482590935005,0.00025647018942213517,49,45,0.8070698311515382
418393,cg24536244,0.7122548978505965,0.8188732319177723,-0.1066183340671758,-0.7609729275672573,-3.984114588709817,0.00024508033338219826,49,45,0.8070698311515382
43201,cg02162556,0.8846959794584366,0.9014680341125638,-0.016772054654127233,-0.24677683536321543,-3.9645390705996038,0.0002604329694711435,49,45,0.8070698311515382
408080,cg23892439,0.6241553947473505,0.7918098134399295,-0.16765441869257902,-1.1553304093969525,-4.004492352615117,0.00023003121132642745,49,45,0.8070698311515382
377775,cg21882300,0.3221297215044603,0.23163204097375686,0.09049768053070342,0.6249056639149457,4.005311770885114,0.00022944519287721363,49,45,0.8070698311515382
48099,cg02417576,0.8448237308996926,0.8889757751190079,-0.04415204421931529,-0.4940632651959283,-3.986909970077758,0.00024296083057071498,49,45,0.8070698311515382
64796,cg03286987,0.8667404864950901,0.8971392235565048,-0.030398737061414716,-0.4082029353281261,-3.9978798534879254,0.0002348136318526683,49,45,0.8070698311515382
159451,cg08462952,0.6411997094085226,0.8486834643132465,-0.20748375490472393,-1.7060878346979194,-3.9628831108648983,0.0002617736173369998,49,45,0.8070698311515382
294875,cg16507955,0.8004044218504127,0.8406545965975198,-0.040250174747107126,-0.3867854191300637,-4.010147577331421,0.00022601616355266653,49,45,0.8070698311515382
350424,cg20025135,0.7972567182846383,0.8896952213408713,-0.09243850305623302,-0.8780243139648706,-3.969823184113691,0.0002561993275896667,49,45,0.8070698311515382
94995,cg04891086,0.2878389682419785,0.18974001685060635,0.09809895139137217,0.7709200407620972,3.9996639938729937,0.00023351385943147922,49,45,0.8070698311515382
193339,cg10462356,0.7034304198415523,0.8569170500469528,-0.15348663020540054,-1.0928610708245783,-3.9709002474044564,0.0002553445994066329,49,45,0.8070698311515382
160657,cg08531052,0.6660035013439805,0.8548917108223516,-0.18888820947837115,-1.4311064845729897,-3.980918115024524,0.000247525911990527,49,45,0.8070698311515382
218251,cg11992241,0.19189599216734074,0.12901760887544858,0.06287838329189216,0.5873775677898031,3.967766534366409,0.00025783913453767624,49,45,0.8070698311515382
229487,cg12710228,0.7280565562490905,0.814614487462878,-0.08655793121378752,-0.6945011004247436,-3.975648666181612,0.0002516092059799174,49,45,0.8070698311515382
191733,cg10363569,0.1487303728068045,0.17609469225180432,-0.027364319444999813,-0.290878538749535,-3.9865381504012323,0.00024324172251396985,49,45,0.8070698311515382
262840,cg14531093,0.9548446024436533,0.9708870403725017,-0.016042437928848408,-0.512238382551459,-3.9659177816937343,0.0002593218548882173,49,45,0.8070698311515382
253937,cg14086691,0.7351900295330372,0.8729195815024717,-0.13772955196943448,-1.025620592225602,-3.957934698039767,0.0002658197530160149,49,45,0.8090850145686613
230666,cg12794168,0.7049275364126305,0.749077373563453,-0.044149837150822546,-0.31237495009060534,-3.9538673999169007,0.0002691907229671084,49,45,0.8140931416070477
415206,cg24338833,0.224631274465592,0.16628916129542176,0.05834211317017024,0.5082364142177094,3.9513587159435954,0.00027129051749467633,49,45,0.8152176372810249
441159,cg26022577,0.09395067084396494,0.07110487964788983,0.022845791196075105,0.39529984438978644,3.9469721967201843,0.0002750002496699087,49,45,0.8196874561615344
321354,cg18163441,0.8424229844857897,0.8805075017488307,-0.03808451726304107,-0.4304671274218503,-3.943912073114179,0.0002776172665609275,49,45,0.8196874561615344
89417,cg04585937,0.5830530918949921,0.7373999308860003,-0.1543468389910082,-0.9903902870744077,-3.9434781365986202,0.0002779903153507161,49,45,0.8196874561615344
288338,cg16116845,0.7902330218843825,0.846864129510256,-0.056631107625873534,-0.550803938168641,-3.936938588164376,0.0002836713764312236,49,45,0.8238779089049519
323999,cg18328755,0.32291369439685275,0.22131740872429123,0.10159628567256151,0.7402266054969903,3.9358243985968286,0.00028465043834402797,49,45,0.8238779089049519
169552,cg09053247,0.5315731971354225,0.6795641924873053,-0.14799099535188276,-0.9154331913735633,-3.9374901392370534,0.0002831879237987275,49,45,0.8238779089049519
395661,cg23088110,0.815895003553545,0.8716332324161529,-0.05573822886260782,-0.5228501180080811,-3.930651507811235,0.00028923897196030487,49,45,0.8270113512270343
224065,cg12369091,0.6345579125662778,0.7867752678984371,-0.1522173553321593,-1.0459806974932049,-3.9318307297572983,0.00028818670331756403,49,45,0.8270113512270343
159450,cg08462942,0.9392595312950155,0.9513417168072773,-0.012082185512261812,-0.3267679435226049,-3.911805485509433,0.0003065692205718752,49,45,0.8354770941856785
10664,cg00514268,0.2991900161332718,0.18641634395285736,0.11277367218041442,0.8332678036619654,3.924938162572558,0.00029439010172394503,49,45,0.8354770941856785
263007,cg14539363,0.0742626863692167,0.09844457529882397,-0.02418188892960728,-0.44714824902092054,-3.9144126289154864,0.00030411323659073925,49,45,0.8354770941856785
114418,cg05962950,0.26422662679423126,0.1498259623999142,0.11440066439431706,0.9947484503692237,3.9195370727504857,0.00029934125821653795,49,45,0.8354770941856785
427075,cg25077654,0.05583069274671397,0.04497344430475858,0.010857248441955389,0.31286326365005973,3.9080380798289456,0.00031015211914978586,49,45,0.8354770941856785
326547,cg18484591,0.6171490796850034,0.8401624474017558,-0.2230133677167524,-1.5221664230239078,-3.911113156337965,0.00030722462649084253,49,45,0.8354770941856785
24473,cg01195628,0.6533863317745667,0.7864983389169923,-0.13311200714242555,-0.8555935049679773,-3.907983581540819,0.000310204244429459,49,45,0.8354770941856785
168930,cg09013953,0.5783695836905358,0.7453881412621003,-0.16701855757156447,-1.1814405155577332,-3.9046066940259077,0.00031345067430060494,49,45,0.8354770941856785
412624,cg24156181,0.38032012688425104,0.5481895734378743,-0.1678694465536233,-1.0820945490806488,-3.9052687202075553,0.0003128116451240843,49,45,0.8354770941856785
44058,cg02214674,0.7106350443692893,0.6264035818060522,0.0842314625632371,0.8296890333503472,3.9193475563151567,0.00029951644215593133,49,45,0.8354770941856785
431910,cg25397922,0.28314482547027353,0.1917187532409106,0.09142607222936294,0.7246968083809869,3.9074000140750083,0.0003107629331505829,49,45,0.8354770941856785
54222,cg02733865,0.6362598658160192,0.7580771905604142,-0.121817324744395,-0.8272014926902796,-3.911932917386051,0.00030644873235900245,49,45,0.8354770941856785
